,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Atuona,PF,77.92,scattered clouds,-9.8,-139.0333,Villa Enata
1,Bengkulu,ID,83.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2,Atambua,ID,85.24,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
9,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
11,San Patricio,US,85.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
22,Huaihua,CN,87.3,light rain,27.5494,109.9592,怀化天庆大酒店
23,Hilo,US,75.79,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
28,Bethel,US,79.92,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
38,Karratha,AU,80.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
40,Isla Aguada,MX,82.54,broken clouds,18.7833,-91.4667,Freedom Shores
48,Ardakan,IR,84.58,clear sky,32.31,54.0175,Ardakan Hotel
49,Nangong,CN,80.74,overcast clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
50,Vilyuysk,RU,81.54,scattered clouds,63.7553,121.6247,Gostinitsa Viliuisk
54,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
58,Aktau,KZ,86.58,clear sky,43.65,51.2,Silk Way Hotel
62,Port Moresby,PG,83.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
69,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
72,Norsup,VU,76.96,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
73,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
75,Itainopolis,BR,76.12,few clouds,-7.4469,-41.4783,Pousada Posto Club Frank Aguiar
76,Novopavlovka,RU,78.73,clear sky,51.2172,109.2091,Vizit
77,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
80,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
82,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
87,Safaga,EG,84.15,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
90,Oussouye,SN,77.25,broken clouds,12.485,-16.5469,Auberge du Routard
94,Nara,JP,78.17,light rain,34.6851,135.8049,Guesthouse Nara Komachi
96,Zhigalovo,RU,82.24,few clouds,54.8097,105.1578,"Hotel ""Lenatur"""
97,Goderich,CA,77.32,clear sky,43.7501,-81.7165,Harmony Inn
100,Safford,US,83.32,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
101,Buala,SB,76.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
103,Bandarbeyla,SO,80.02,broken clouds,9.4942,50.8122,JABIR HOTEL
108,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
111,Cockburn Town,TC,82.42,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
115,Kieta,PG,82.58,light rain,-6.2167,155.6333,Uruna Bay Retreat
116,Puerto Escondido,MX,79.18,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
118,Sabang,ID,81.82,broken clouds,5.8933,95.3214,Hotel Citra
119,Banda Aceh,ID,84.25,broken clouds,5.5577,95.3222,Sulthan Hotel International
126,Seoul,KR,85.48,moderate rain,37.5683,126.9778,롯데호텔 서울
129,Tabuk,PH,80.67,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
132,Matara,LK,83.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
136,Isangel,VU,77.11,haze,-19.55,169.2667,Tanna Lodge
142,Mandalgovi,MN,79.68,clear sky,45.7625,106.2708,В.Ганбат
153,Saint-Philippe,RE,75.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Douentza,ML,78.57,broken clouds,14.9951,-2.9517,Ogomono Doumbo
160,Boyolangu,ID,80.55,overcast clouds,-8.1181,111.8935,Yos ega cv
161,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
163,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
164,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
165,Hithadhoo,MV,81.03,overcast clouds,-0.6,73.0833,Scoop Guest House
170,Gilgit,PK,85.89,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
174,Mae Hong Son,TH,86.14,light rain,19.3003,97.9685,Baiyoke Chalet Hotel
175,Verkhnevilyuysk,RU,77.99,broken clouds,63.4453,120.3167,Gostinitsa Mila
177,Varna,BG,75.15,few clouds,43.2167,27.9167,Hotel Gran Ivan
183,Hole Narsipur,IN,75.85,overcast clouds,12.7828,76.2431,Vibhavi upahar and Cafe
185,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
187,Hamilton,US,80.37,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
198,Aksu,CN,87.13,few clouds,41.1231,80.2644,Pudong Holiday Hotel
201,Matay,EG,84.33,clear sky,28.419,30.7792,Nag Aespen
202,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
204,Victoria,HK,85.96,light rain,22.2855,114.1577,Mini Hotel Central
208,Luganville,VU,76.15,broken clouds,-15.5333,167.1667,The Espiritu Hotel
211,Lujiang,CN,78.85,moderate rain,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
212,Ashland,US,75.76,overcast clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
215,Panaba,MX,75.4,few clouds,21.2833,-88.2667,Posada rosario
219,Uto,JP,77.4,moderate rain,32.6833,130.6667,Uto Center Hotel
220,Cheney,US,79.14,smoke,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
226,Palasbari,IN,85.06,broken clouds,26.1361,91.5486,Hotel Kings Castle
229,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
230,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
231,Biltine,TD,76.33,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
233,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
237,Petropavlovka,RU,75.96,few clouds,50.6114,105.3196,Tuyaa
239,Sulangan,PH,84.4,few clouds,11.1373,123.7228,Maia's Beach Resort
240,Payson,US,81.27,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
242,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
246,Komsomolskiy,UZ,83.55,broken clouds,40.4272,71.7189,Ikathouse
249,Saint-Leu,RE,76.03,clear sky,-21.15,55.2833,La Caz Oceane
254,Hovd,MN,75.74,overcast clouds,48.0056,91.6419,Hotel Khovd
257,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
264,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
267,Mitsamiouli,KM,76.77,clear sky,-11.3847,43.2844,Foyer ADM
269,Lasem,ID,89.87,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
271,Sao Filipe,CV,75.88,scattered clouds,14.8961,-24.4956,Hotel Xaguate
