,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
0,Alto Araguaia,-17.3147,-53.2153,92.05,13,6,7.23,BR,clear sky
1,Hermanus,-34.4187,19.2345,51.8,77,4,14.85,ZA,clear sky
2,Henties Bay,-22.116,14.2845,58.86,82,13,9.19,NA,few clouds
3,Sao Joao Da Barra,-21.6403,-41.0511,77.09,79,40,13.06,BR,scattered clouds
4,Sinnamary,5.3833,-52.95,82.33,80,80,11.01,GF,broken clouds
5,Hervey Bay,-25.2986,152.8535,60.04,76,0,3.96,AU,clear sky
6,Kaitangata,-46.2817,169.8464,42.51,82,46,8.95,NZ,scattered clouds
7,Rikitea,-23.1203,-134.9692,73.9,79,17,6.71,PF,few clouds
8,Houma,29.5958,-90.7195,91.0,69,75,9.22,US,light rain
9,Ushuaia,-54.8,-68.3,37.06,93,75,9.22,AR,heavy intensity drizzle
10,Comodoro Rivadavia,-45.8667,-67.5,62.46,20,0,14.97,AR,clear sky
11,Georgetown,5.4112,100.3354,78.89,92,20,2.3,MY,few clouds
12,Albany,42.6001,-73.9662,91.8,61,54,4.47,US,broken clouds
13,Bad Freienwalde,52.7873,14.0304,83.28,50,100,1.01,DE,overcast clouds
14,La Spezia,44.1105,9.8434,87.73,65,11,3.15,IT,few clouds
15,Kapoeta,4.7717,33.5903,74.73,76,74,5.1,SS,light rain
16,Provideniya,64.3833,-173.3,44.24,79,100,6.46,RU,overcast clouds
17,Hithadhoo,-0.6,73.0833,82.53,73,88,13.29,MV,overcast clouds
18,Tasiilaq,65.6145,-37.6368,44.37,65,89,7.94,GL,overcast clouds
19,Maningrida,-12.0667,134.2667,69.66,86,4,9.51,AU,clear sky
20,Corinto,37.9407,22.9573,87.91,47,0,4.12,GR,clear sky
21,Mataura,-46.1927,168.8643,41.49,97,52,11.43,NZ,light rain
22,Nikolskoye,59.7035,30.7861,67.89,74,0,5.48,RU,clear sky
23,Dikson,73.5069,80.5464,44.1,100,100,2.68,RU,overcast clouds
24,Busselton,-33.65,115.3333,49.05,85,64,2.82,AU,broken clouds
25,Kwekwe,-18.9281,29.8149,59.41,72,0,17.34,ZW,clear sky
26,Muros,42.7762,-9.0603,84.7,51,6,11.05,ES,clear sky
27,Tuktoyaktuk,69.4541,-133.0374,41.0,81,90,12.66,CA,light rain
28,Hobart,-42.8794,147.3294,46.26,73,50,4.0,AU,scattered clouds
29,Vestmannaeyjar,63.4427,-20.2734,56.39,88,90,9.22,IS,overcast clouds
30,Yaan,7.3833,8.5667,75.78,87,49,4.5,NG,scattered clouds
31,Tessalit,20.1986,1.0114,101.98,16,13,18.88,ML,few clouds
32,San Ramon,37.7799,-121.978,82.81,56,1,6.91,US,clear sky
33,Vila Velha,-20.3297,-40.2925,78.75,61,20,11.5,BR,few clouds
34,Port Hardy,50.6996,-127.4199,62.78,82,1,2.3,CA,clear sky
35,Atuona,-9.8,-139.0333,77.22,77,7,18.45,PF,clear sky
36,Arraial Do Cabo,-22.9661,-42.0278,67.96,83,75,13.8,BR,light intensity drizzle
37,Wollongong,-34.4333,150.8833,48.92,77,0,5.21,AU,clear sky
38,New Norfolk,-42.7826,147.0587,45.91,67,62,1.01,AU,broken clouds
39,Elko,41.0002,-115.5012,90.73,17,6,1.01,US,clear sky
40,Cabo San Lucas,22.8909,-109.9124,91.62,70,12,3.0,MX,few clouds
41,Pangody,65.85,74.4859,55.85,93,100,4.07,RU,overcast clouds
42,Kapaa,22.0752,-159.319,80.58,78,15,5.01,US,light rain
43,Bluff,-46.6,168.3333,41.81,85,72,28.34,NZ,light rain
44,Bastia,42.6667,9.3333,89.4,59,0,2.3,FR,clear sky
45,Margate,51.3813,1.3862,71.91,71,80,1.99,GB,broken clouds
46,Gambela,8.25,34.5833,71.71,96,52,4.07,ET,light rain
47,Wilkie,52.4168,-108.7014,76.89,39,30,11.56,CA,scattered clouds
48,Kaduqli,11.0167,29.7167,73.36,85,83,1.5,SD,broken clouds
49,Kavieng,-2.5744,150.7967,81.54,78,100,10.71,PG,overcast clouds
50,Bredasdorp,-34.5322,20.0403,51.28,76,8,5.75,ZA,clear sky
51,Caravelas,-17.7125,-39.2481,76.53,57,14,7.65,BR,few clouds
52,Saint-Pierre,-21.3393,55.4781,71.28,80,0,4.61,RE,clear sky
53,Cape Town,-33.9258,18.4232,55.81,63,0,1.99,ZA,clear sky
54,Chokurdakh,70.6333,147.9167,43.57,77,77,20.02,RU,broken clouds
55,Caxito,-8.5785,13.6643,74.05,78,7,7.45,AO,clear sky
56,Guarapari,-20.6667,-40.4975,78.69,68,28,8.77,BR,scattered clouds
57,Punta Arenas,-53.15,-70.9167,51.91,62,75,29.93,CL,light rain
58,Carnarvon,-24.8667,113.6333,50.07,65,0,6.91,AU,clear sky
59,Faya,18.3851,42.4509,71.71,49,84,3.96,SA,broken clouds
60,Upernavik,72.7868,-56.1549,43.57,92,100,9.01,GL,light rain
61,Laguna,38.421,-121.4238,97.65,49,75,5.75,US,broken clouds
62,Huarmey,-10.0681,-78.1522,69.01,67,43,12.93,PE,scattered clouds
63,Tanabe,33.7333,135.3667,79.93,91,100,3.0,JP,moderate rain
64,Norman Wells,65.282,-126.8329,60.84,82,75,5.75,CA,broken clouds
65,Amontada,-3.3617,-39.8317,95.54,33,72,10.18,BR,broken clouds
66,Jamestown,42.097,-79.2353,77.18,80,84,8.99,US,broken clouds
