,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,66.72,55,40,scattered clouds,CA,2021-08-13 02:51:41
1,Vila Franca Do Campo,37.7167,-25.4333,73.81,79,64,broken clouds,PT,2021-08-13 02:54:46
2,Nikolskoye,59.7035,30.7861,64.29,93,100,light rain,RU,2021-08-13 02:54:46
3,Jamestown,42.097,-79.2353,74.71,88,1,clear sky,US,2021-08-13 02:54:46
4,Kavieng,-2.5744,150.7967,81.64,78,100,light rain,PG,2021-08-13 02:54:47
5,Wanaka,-44.7,169.15,46.89,79,19,few clouds,NZ,2021-08-13 02:54:47
6,Vostok,46.4856,135.8833,74.46,36,9,clear sky,RU,2021-08-13 02:53:28
7,Uddevalla,58.3478,11.9424,63.05,97,100,overcast clouds,SE,2021-08-13 02:54:48
8,Iberia,29.9502,-91.7507,77.97,83,100,overcast clouds,US,2021-08-13 02:54:48
9,Butaritari,3.0707,172.7902,81.97,76,36,light rain,KI,2021-08-13 02:54:48
10,Hermanus,-34.4187,19.2345,51.91,76,11,few clouds,ZA,2021-08-13 02:54:49
11,Ilulissat,69.2167,-51.1,43.97,70,100,overcast clouds,GL,2021-08-13 02:54:49
12,Amot,59.5714,7.9877,52.5,96,100,overcast clouds,NO,2021-08-13 02:54:49
13,Busselton,-33.65,115.3333,59.04,72,96,light rain,AU,2021-08-13 02:54:50
14,Buala,-8.145,159.5921,76.46,91,100,moderate rain,SB,2021-08-13 02:54:50
15,New Norfolk,-42.7826,147.0587,57.7,63,94,overcast clouds,AU,2021-08-13 02:54:50
16,Saint-Philippe,-21.3585,55.7679,69.39,83,30,scattered clouds,RE,2021-08-13 02:54:51
17,Bansud,12.865,121.4564,86.65,67,85,overcast clouds,PH,2021-08-13 02:54:51
18,Saskylakh,71.9167,114.0833,46.6,74,100,overcast clouds,RU,2021-08-13 02:54:51
19,Ostrovnoy,68.0531,39.5131,61.34,70,100,overcast clouds,RU,2021-08-13 02:54:52
20,Cognac,45.5,-0.25,66.97,88,75,broken clouds,FR,2021-08-13 02:54:52
21,Ushuaia,-54.8,-68.3,44.26,76,75,light intensity drizzle,AR,2021-08-13 02:52:04
22,East London,-33.0153,27.9116,55.78,64,94,light rain,ZA,2021-08-13 02:54:53
23,Lebu,-37.6167,-73.65,46.27,83,0,clear sky,CL,2021-08-13 02:54:53
24,Sao Joao Da Barra,-21.6403,-41.0511,69.35,87,59,broken clouds,BR,2021-08-13 02:54:54
25,Vaini,-21.2,-175.2,73.56,78,40,scattered clouds,TO,2021-08-13 02:54:54
26,Rikitea,-23.1203,-134.9692,74.44,84,4,light rain,PF,2021-08-13 02:54:54
27,Carnarvon,-24.8667,113.6333,66.27,25,0,clear sky,AU,2021-08-13 02:54:55
28,Staszow,50.5631,21.1659,55.49,79,67,broken clouds,PL,2021-08-13 02:54:55
29,Meulaboh,4.1363,96.1285,80.42,80,99,overcast clouds,ID,2021-08-13 02:54:55
30,Hithadhoo,-0.6,73.0833,80.24,77,100,moderate rain,MV,2021-08-13 02:54:56
31,Provideniya,64.3833,-173.3,41.11,75,75,broken clouds,RU,2021-08-13 02:54:56
32,Volsk,52.0333,47.3833,75.74,27,39,scattered clouds,RU,2021-08-13 02:54:56
33,Mataura,-46.1927,168.8643,52.48,62,8,clear sky,NZ,2021-08-13 02:54:57
