City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Batocina,RS,2021-08-13 01:22:00,44.1536,21.0817,60.15,54,4,2.46
1,Auki,SB,2021-08-13 01:22:00,-8.7676,160.7034,75.0,94,100,3.15
2,Bonthe,SL,2021-08-13 01:22:00,7.5264,-12.505,76.51,89,100,7.43
3,Busselton,AU,2021-08-13 01:22:01,-33.65,115.3333,48.04,79,100,5.91
4,Kruisfontein,ZA,2021-08-13 01:22:01,-34.0033,24.7314,47.12,76,72,4.36
5,Upernavik,GL,2021-08-13 01:22:01,72.7868,-56.1549,43.63,87,100,10.38
6,Isla Mujeres,MX,2021-08-13 01:22:02,21.2311,-86.731,82.45,77,5,11.07
7,Nizwa,OM,2021-08-13 01:22:02,22.9333,57.5333,88.59,38,97,0.36
8,Tshela,CD,2021-08-13 01:22:03,-4.9833,12.9333,70.09,96,100,1.12
9,Saint-Pierre,RE,2021-08-13 01:21:16,-21.3393,55.4781,69.44,71,0,5.75
10,Karachi,PK,2021-08-13 01:19:53,24.9056,67.0822,80.42,69,75,9.22
11,Marystown,CA,2021-08-13 01:22:03,47.1666,-55.1483,59.13,97,100,7.67
12,Zaysan,KZ,2021-08-13 01:22:04,47.4667,84.8667,67.17,64,100,5.1
13,Bluff,NZ,2021-08-13 01:22:04,-46.6,168.3333,52.81,73,22,15.43
14,North Bend,US,2021-08-13 01:22:05,43.4065,-124.2243,77.23,88,1,8.05
15,Baoro,CF,2021-08-13 01:22:05,5.6667,15.9667,67.32,96,100,3.2
16,Brae,GB,2021-08-13 01:22:05,60.3964,-1.353,55.31,90,51,11.83
17,Souillac,MU,2021-08-13 01:22:06,-20.5167,57.5167,71.98,83,40,12.66
18,Llandrindod Wells,GB,2021-08-13 01:22:06,52.2416,-3.3787,57.92,87,100,13.8
19,Kifri,IQ,2021-08-13 01:22:06,34.6959,44.9661,91.89,19,0,0.83
20,Barrow,US,2021-08-13 01:22:07,71.2906,-156.7887,37.42,75,90,12.66
21,Lavrentiya,RU,2021-08-13 01:22:07,65.5833,-171.0,44.29,60,78,9.64
22,Miraflores,MX,2021-08-13 01:22:08,19.2167,-98.8083,59.65,89,100,1.68
23,Kapaa,US,2021-08-13 01:18:29,22.0752,-159.319,86.32,66,40,1.01
24,Srednekolymsk,RU,2021-08-13 01:17:33,67.45,153.6833,68.68,64,100,6.64
25,Saskylakh,RU,2021-08-13 01:22:08,71.9167,114.0833,45.91,78,100,10.78
26,Kumluca,TR,2021-08-13 01:22:09,36.3703,30.2869,83.03,37,0,9.26
27,Jamestown,US,2021-08-13 01:20:31,42.097,-79.2353,78.39,85,75,8.01
28,Bethel,US,2021-08-13 01:22:09,41.3712,-73.414,82.72,73,1,3.44
29,Vokhtoga,RU,2021-08-13 01:22:09,58.8147,41.0461,59.41,99,99,4.56
30,Bima,ID,2021-08-13 01:22:10,-8.4667,118.7167,86.14,63,19,4.81
31,Rikitea,PF,2021-08-13 01:22:11,-23.1203,-134.9692,74.44,82,6,14.74
32,Lucapa,AO,2021-08-13 01:22:11,-8.4192,20.7447,66.97,27,0,3.44
33,Kodiak,US,2021-08-13 01:22:11,57.79,-152.4072,54.25,81,96,1.86
34,Buraydah,SA,2021-08-13 01:22:12,26.326,43.975,95.45,13,39,9.33
35,Hobart,AU,2021-08-13 01:21:57,-42.8794,147.3294,59.25,60,75,3.0
36,Fort Saint James,CA,2021-08-13 01:22:12,54.4333,-124.25,84.99,25,0,5.23
37,Goderich,CA,2021-08-13 01:20:22,43.7501,-81.7165,77.32,73,9,8.05
38,Fernley,US,2021-08-13 01:22:13,39.608,-119.2518,99.57,12,5,7.0
39,Ushuaia,AR,2021-08-13 01:22:05,-54.8,-68.3,44.26,81,90,25.32
40,Shizunai,JP,2021-08-13 01:22:14,42.3339,142.3669,66.16,65,100,11.03
41,Hithadhoo,MV,2021-08-13 01:22:14,-0.6,73.0833,80.33,76,100,9.78
42,Krasnyy Chikoy,RU,2021-08-13 01:22:14,50.3643,108.7512,64.78,76,0,3.09
43,Roebourne,AU,2021-08-13 01:22:15,-20.7833,117.1333,69.6,23,0,17.02
44,Puttur,IN,2021-08-13 01:22:15,12.7667,75.2167,75.31,97,76,0.85
45,Punta Arenas,CL,2021-08-13 01:17:37,-53.15,-70.9167,44.71,76,0,42.57
46,Codrington,AU,2021-08-13 01:22:16,-38.2667,141.9667,55.36,72,0,15.68
47,Butaritari,KI,2021-08-13 01:22:16,3.0707,172.7902,81.75,77,30,7.83
48,Mataura,NZ,2021-08-13 01:22:16,-46.1927,168.8643,52.48,68,7,3.78
49,Aktau,KZ,2021-08-13 01:22:17,43.65,51.2,81.18,42,5,17.38
50,Mount Gambier,AU,2021-08-13 01:21:38,-37.8333,140.7667,56.19,66,0,11.07
51,Nazarovo,RU,2021-08-13 01:22:17,56.0064,90.3914,59.63,91,70,5.21
52,Vestmannaeyjar,IS,2021-08-13 01:22:17,63.4427,-20.2734,53.89,86,100,4.52
53,Troitskoye,RU,2021-08-13 01:22:18,52.9821,84.6757,58.69,88,100,8.1
54,Aswan,EG,2021-08-13 01:22:18,24.0934,32.907,88.0,17,0,8.34
55,Zuwarah,LY,2021-08-13 01:22:18,32.9312,12.082,81.39,79,0,4.72
56,Severo-Kurilsk,RU,2021-08-13 01:22:19,50.6789,156.125,56.88,68,4,6.73
57,Dongfeng,CN,2021-08-13 01:22:19,42.6403,125.5118,63.03,96,100,3.91
58,Great Falls,US,2021-08-13 01:20:40,47.5002,-111.3008,81.93,29,1,12.66
59,Bilma,NE,2021-08-13 01:22:20,18.6853,12.9164,90.68,36,24,15.3
60,Ampanihy,MG,2021-08-13 01:22:20,-24.7,44.75,59.11,91,0,2.8
61,Mar Del Plata,AR,2021-08-13 01:22:20,-38.0023,-57.5575,39.22,93,0,5.75
62,Dhanbad,IN,2021-08-13 01:22:21,23.8,86.45,82.27,78,98,4.52
63,Mahebourg,MU,2021-08-13 01:22:21,-20.4081,57.7,71.89,83,40,12.66
64,Norman Wells,CA,2021-08-13 01:22:21,65.282,-126.8329,68.04,56,90,6.91
65,Bambous Virieux,MU,2021-08-13 01:22:22,-20.3428,57.7575,71.85,83,40,12.66
66,Charlottesville,US,2021-08-13 01:22:08,38.0293,-78.4767,87.75,65,1,3.0
67,Castro,BR,2021-08-13 01:22:22,-24.7911,-50.0119,48.99,97,100,7.11
68,Beloha,MG,2021-08-13 01:22:23,-25.1667,45.05,60.21,92,0,4.45
69,Chuy,UY,2021-08-13 01:22:23,-33.6971,-53.4616,43.95,87,0,5.41
70,Inegol,TR,2021-08-13 01:22:24,40.0781,29.5133,58.28,80,0,1.28
71,Puerto Ayora,EC,2021-08-13 01:22:24,-0.7393,-90.3518,69.55,84,20,5.99
72,Cape Town,ZA,2021-08-13 01:19:39,-33.9258,18.4232,52.12,78,0,1.99
73,Husavik,IS,2021-08-13 01:22:25,66.0449,-17.3389,49.91,93,22,0.51
74,Muros,ES,2021-08-13 01:22:25,42.7762,-9.0603,66.24,89,3,8.14
75,Lasa,IT,2021-08-13 01:22:26,46.6166,10.7002,67.08,79,70,1.79
76,Qaanaaq,GL,2021-08-13 01:22:26,77.484,-69.3632,38.61,72,17,2.37
77,Albany,US,2021-08-13 01:18:16,42.6001,-73.9662,76.3,92,63,6.91
78,Grand Gaube,MU,2021-08-13 01:22:27,-20.0064,57.6608,72.0,84,15,7.0
79,Chapais,CA,2021-08-13 01:22:27,49.7834,-74.8492,65.98,61,53,5.12
80,San Juan Bautista,PE,2021-08-13 01:22:27,-14.0108,-75.7358,56.17,67,5,1.28
81,Ostrovnoy,RU,2021-08-13 01:22:28,68.0531,39.5131,60.51,68,100,3.83
82,Kahului,US,2021-08-13 01:22:28,20.8947,-156.47,86.97,67,20,24.16
83,Nome,US,2021-08-13 01:22:28,64.5011,-165.4064,51.17,61,1,11.5
84,Te Anau,NZ,2021-08-13 01:22:29,-45.4167,167.7167,47.57,81,53,3.27
85,Arraial Do Cabo,BR,2021-08-13 01:22:29,-22.9661,-42.0278,68.79,85,100,17.29
86,Puerto Carreno,CO,2021-08-13 01:22:30,6.189,-67.4859,77.11,87,100,3.69
87,Port Alfred,ZA,2021-08-13 01:22:30,-33.5906,26.891,53.96,70,68,12.33
88,Ambilobe,MG,2021-08-13 01:22:30,-13.2,49.05,65.35,84,0,3.24
89,Makinsk,KZ,2021-08-13 01:22:31,52.6292,70.4169,43.77,86,10,10.54
